"Good evening again. My fellow Singaporeans, we have had an eventful year. We have been busy guarding against terrorism and strengthening our racial harmony, making friends and cooperating with other countries big and small.",2017
"Last year, I spoke about our economy: how we were working to develop skills, build capabilities, promote entrepreneurship, and take the economy to the next level and I am happy to report good progress.æWe expect growth around 2.5 per cent this year, higher than last year. Wages have been rising, gradually but steadily, and most encouragingly, productivity is improving. Last year, productivity went up by one per cent, after several years of almost zero growth. This year, we should do even better. This is important because productivity is the key to our prosperity, and to higher wages.",2017
"We still have work to do.æHeng Swee Keat and the Future Economy Council are hard at it. Unions and employers are fully on board. And together, we are implementing Industry Transformation Maps (ITMs), industry by industry. We are also pressing on with SkillsFuture, preparing everyone for the jobs of the future, helping workers and professionals with the problems of today when they are displaced from their jobs, retraining and reskilling them to take up new jobs. If we can keep up this path, we can create better jobs and new opportunities for our workers and businesses.",2017
"The immediate priorities are important and we will continue to focus on them but tonight I want to take a step back from these immediate priorities. Instead, I would like to discuss three longer term issues that are important to the success and wellbeing of Singapore, for the current generation and also for future generations.",2017
"One, building up our preschools so that every child, regardless of his family background, starts well and has a bright future. Two, fighting diabetes, because many Singaporeans suffer from it, not only the old, but increasingly younger people too, and three, making Singapore a Smart Nation, by using IT to the full, to create jobs and opportunities for all Singaporeans.",2017
"Preschool, Diabetes, and Smart Nation _ these are the things we must do now, work on now, to build our future so that Singaporeans can start right, stay healthy and live smart at every age.",2017
"Let me start with preschool. Here, we are talking about infants to six year olds. Nowadays even two month old babies are enrolled in infant care, and that is part of preschool.Preschool is important to give our children a good start and the best chance to succeed in life. In the past, we started at Primary 1, when the child is seven. But now we know we have to begin much earlier, not to give children a head-start in Primary 1, but to build sound foundations for them for life. At an early age, there are specific windows in a childÍs development and you must catch that window or you miss it.",2017
"For example,æa child picks up language skills most easily and rapidly in his first three years. You miss that and it becomes much harder later on. In fact, it is best if they hear the language sounds as infants, before they are eight months old. Social and emotional skills need to be learnt early too: how to play with other children, how to be patient and wait your turn, how to behave when you do not get what you want.",2017
"Cognitively, young children need stimulation. Parents and teachers need to encourage kids to talk, not to tell them to keep quiet. Kids are naturally curious. Encourage them to wonder about the world around them, to ask questions, to explore, to express themselves. Of course, parents and family members are the first and best teachers for children, because they look after them, play with them, and talk to them most intensively. But a good preschool will help parents to make the most of these formative windows of a childÍs development.",2017
"Preschool is also a great practical help to working couples because nowadays, both parents are likely to be working. Not all grandparents are available to become babysitters! They like to play with their grandchildren; they do not want to be responsible for their grandchildren.",2017
"Hence,æfive years ago, the Government moved decisively, to build up preschools, and transform the whole sector. We created almost 50,000 more childcare and kindergarten places, especially in young estates like Punggol and Sengkang. We increased subsidies to make preschools more affordable. We raised the standards of Anchor Operators.æPCF Kindergartens have become Sparkletots, with better curriculum, and better trained teachers. NTUCÍs My First Skool has also developed engaging programmes. Last month, I visited My First SkoolÍs campus in Punggol, built on top of a multi-storey carpark. It has an arts programme, coordinated by the National Arts Council. Artists visit the kindergarten to work with the kids and the kids were enjoying all sorts of art _ painting, making things, doodling with coloured chalk on a blackboard. I joined them, some of them were doing better than me because I did not do art when I was in kindergarten.",2017
"The Ministry of Education (MOE) has also started to run MOE Kindergartens, for children of ages five and six. They have developed a good curriculum. They have hired well-trained teachers, including mother tongue teachers _ Malay, Chinese and Tamil. There are now 15 of these MOE Kindergartens. I visited one in Punggol. The kids are happy, and so their parents are happy too.",2017
"Every preschool a good preschool. As you can see, we have made good progress and a big reason is that we set up the Early Childhood Development Agency (ECDA). It oversees the whole sector. It brings together all the ministries involved with preschool. It works with the operators to make sure everything goes well.",2017
"Now to take the preschools to the next level,æwe will roll out three more initiatives. First, we will create more places. As I said earlier, in the last five years, we have already created 50,000 more preschool places. But in the young towns, we are still short. In the next five years, we will create an additional 40,000 new places. This will bring the total number of preschool places to about 200,000, which will be almost double what we had.",2017
"Here is one centre, coming up in Sengkang West. The shortage of preschool places is mainly for the younger ones, ages zero to four, and those early years are critical for the childÍs development. So Anchor Operators will create more places just for this group. For a start, they will build Early Years Centres in new HDB developments. We will call them Early Years Centres for zero to four. Each Early Years Centre will partner a nearby MOE Kindergarten. From zero to four, your child can go to an Early Years Centre and when he reaches five and six, he or she will have a place reserved in that MOE Kindergarten, if you want to take it up.",2017
"Second, we will improve the quality of preschool education for ages five and six, in other words the K1s and the K2s. We have enough places already for this group. Now, we want to raise their standards further and MOE will lead the way. MOEÍs 15 Kindergartens have helped to establish a good standard at a reasonable price and parents know they can trust the MOE brand. MOE will scale up to 50 kindergartens over the next five years. And this way, MOE can make a bigger impact beyond its own MOE Kindergartens to influence and uplift the quality of the whole sector.",2017
"Thirdly, we will upgrade the preschool profession in order to attract good teachers and carers because teachers and carers make all the difference to our children. As a comparison, let us look at what we do with MOE teachers for primary, secondary and junior college. We train our teachers well. We have a National Institute of Education (NIE). Trainee teachers attend NIE programmes before they can start teaching. NIE does research and keeps up-to-date on the latest teaching methods. During their careers, periodically teachers return to NIE to upgrade themselves, and prepare for more senior roles. The MOE teachers do fulfilling work; they are paid competitively and they have good career paths. You can be a master teacher _ showing other teachers how to teach. You can be a subject specialist _ developing new curricula. Or you can be a school leader _ like a Vice-Principal, or a Principal, or a Cluster Superintendent. Because teachers are trained well, paid well and have good career prospects, good people take up teaching and we have a good education system.",2017
"We will take the same approach with preschool teachers: train them well, reward them well, and attract good, passionate people. I am glad that since we started upgrading and expanding preschools, people have been switching careers, like Ms Marie Luo. I met Marie when I visited the MOE Kindergarten at Punggol View. Marie used to work at the Ministry of Trade and Industry (MTI), overseeing productivity. But Marie loved to take care of young children, so when MOE Kindergartens started up, she gave it a try. She has been teaching for more than a year, and can look forward to a good career.",2017
